english_name,chinese_name
MSc Finance,金融学硕士
MSc Computer Science,计算机科学硕士
MA Education,教育学硕士
MSc Data Science,数据科学硕士
MBA,工商管理硕士
MSc Civil Engineering,土木工程硕士
MA International Relations,国际关系硕士
MSc Artificial Intelligence,人工智能硕士
MSc Public Health,公共卫生硕士
MA English Literature,英语文学硕士
MSc Mechanical Engineering,机械工程硕士
MA Psychology,心理学硕士
MSc Accounting and Finance,会计与金融硕士
MSc Environmental Science,环境科学硕士
MA History,历史学硕士
MSc Biomedical Engineering,生物医学工程硕士
MA Journalism and Media Studies,新闻与媒介研究硕士
MSc Supply Chain Management,供应链管理硕士
MSc Architecture,建筑学硕士
MSc Statistics,统计学硕士
